,0
0,ZNF277
1,ZNF28
2,ZNF280C
3,ZNF280D
4,ZNF281
5,ZNF282
6,ZNF283
7,ZNF285
8,ZNF286A
9,ZNF287
10,ZNF292
11,ZNF296
12,ZNF3
13,ZNF30
14,ZNF302
15,ZNF304
16,ZNF311
17,ZNF317
18,ZNF318
19,ZNF319
20,ZNF32
21,ZNF320
22,ZNF321P
23,ZNF322
24,ZNF324
25,ZNF324B
26,ZNF326
27,ZNF329
28,ZNF330
29,ZNF331
30,ZNF333
31,ZNF335
32,ZNF337
33,ZNF33A
34,ZNF33B
35,ZNF34
36,ZNF341
37,ZNF343
38,ZNF345
39,ZNF346
40,ZNF347
41,ZNF35
42,ZNF350
43,ZNF354A
44,ZNF354B
45,ZNF358
46,ZNF362
47,ZNF365
48,ZNF367
49,ZNF37A
50,ZNF37BP
51,ZNF383
52,ZNF384
53,ZNF385A
54,ZNF394
55,ZNF395
56,ZNF396
57,ZNF397
58,ZNF398
59,ZNF407
60,ZNF408
61,ZNF41
62,ZNF410
63,ZNF414
64,ZNF415
65,ZNF416
66,ZNF417
67,ZNF418
68,ZNF419
69,ZNF420
70,ZNF423
71,ZNF425
72,ZNF426
73,ZNF428
74,ZNF429
75,ZNF43
76,ZNF430
77,ZNF431
78,ZNF432
79,ZNF433
80,ZNF436
81,ZNF438
82,ZNF439
83,ZNF44
84,ZNF440
85,ZNF441
86,ZNF443
87,ZNF444
88,ZNF445
89,ZNF446
90,ZNF449
91,ZNF45
92,ZNF451
93,ZNF461
94,ZNF462
95,ZNF467
96,ZNF468
97,ZNF469
98,ZNF470
99,ZNF471
100,ZNF473
101,ZNF48
102,ZNF480
103,ZNF484
104,ZNF485
105,ZNF486
106,ZNF490
107,ZNF493
108,ZNF496
109,ZNF497
110,ZNF500
111,ZNF501
112,ZNF502
113,ZNF503
114,ZNF506
115,ZNF507
116,ZNF510
117,ZNF511
118,ZNF512
119,ZNF512B
120,ZNF513
121,ZNF514
122,ZNF516
123,ZNF517
124,ZNF518A
125,ZNF518B
126,ZNF521
127,ZNF524
128,ZNF525
129,ZNF526
130,ZNF527
131,ZNF528
132,ZNF529
133,ZNF530
134,ZNF532
135,ZNF542P
136,ZNF543
137,ZNF544
138,ZNF546
139,ZNF548
140,ZNF549
141,ZNF550
142,ZNF551
143,ZNF552
144,ZNF554
145,ZNF555
146,ZNF557
147,ZNF558
148,ZNF559
149,ZNF561
150,ZNF562
151,ZNF563
152,ZNF564
153,ZNF565
154,ZNF566
155,ZNF567
156,ZNF568
157,ZNF569
158,ZNF57
159,ZNF570
160,ZNF571
161,ZNF574
162,ZNF576
163,ZNF577
164,ZNF579
165,ZNF580
166,ZNF581
167,ZNF583
168,ZNF584
169,ZNF585A
170,ZNF585B
171,ZNF586
172,ZNF587
173,ZNF589
174,ZNF592
175,ZNF593
176,ZNF594
177,ZNF595
178,ZNF596
179,ZNF597
180,ZNF598
181,ZNF599
182,ZNF600
183,ZNF605
184,ZNF606
185,ZNF607
186,ZNF608
187,ZNF609
188,ZNF610
189,ZNF611
190,ZNF613
191,ZNF614
192,ZNF615
193,ZNF616
194,ZNF618
195,ZNF619
196,ZNF621
197,ZNF622
198,ZNF623
199,ZNF624
200,ZNF626
201,ZNF627
202,ZNF628
203,ZNF629
204,ZNF630
205,ZNF638
206,ZNF639
207,ZNF641
208,ZNF644
209,ZNF646
210,ZNF649
211,ZNF652
212,ZNF653
213,ZNF654
214,ZNF655
215,ZNF662
216,ZNF664
217,ZNF668
218,ZNF669
219,ZNF670
220,ZNF671
221,ZNF672
222,ZNF674
223,ZNF675
224,ZNF678
225,ZNF680
226,ZNF681
227,ZNF682
228,ZNF687
229,ZNF688
230,ZNF689
231,ZNF691
232,ZNF692
233,ZNF696
234,ZNF697
235,ZNF7
236,ZNF70
237,ZNF700
238,ZNF701
239,ZNF702P
240,ZNF703
241,ZNF704
242,ZNF706
243,ZNF707
244,ZNF708
245,ZNF709
246,ZNF71
247,ZNF710
248,ZNF711
249,ZNF713
250,ZNF714
251,ZNF718
252,ZNF720
253,ZNF721
254,ZNF737
255,ZNF738
256,ZNF74
257,ZNF740
258,ZNF746
259,ZNF747
260,ZNF749
261,ZNF750
262,ZNF75A
263,ZNF75D
264,ZNF76
265,ZNF761
266,ZNF763
267,ZNF764
268,ZNF765
269,ZNF766
270,ZNF767P
271,ZNF768
272,ZNF77
273,ZNF770
274,ZNF772
275,ZNF773
276,ZNF776
277,ZNF777
278,ZNF778
279,ZNF780A
280,ZNF780B
281,ZNF782
282,ZNF784
283,ZNF785
284,ZNF786
285,ZNF787
286,ZNF788
287,ZNF789
288,ZNF79
289,ZNF790
290,ZNF791
291,ZNF792
292,ZNF793
293,ZNF799
294,ZNF8
295,ZNF800
296,ZNF805
297,ZNF808
298,ZNF81
299,ZNF813
300,ZNF814
301,ZNF816
302,ZNF821
303,ZNF823
304,ZNF827
305,ZNF83
306,ZNF830
307,ZNF836
308,ZNF839
309,ZNF84
310,ZNF841
311,ZNF844
312,ZNF845
313,ZNF846
314,ZNF85
315,ZNF853
316,ZNF860
317,ZNF862
318,ZNF879
319,ZNF880
320,ZNF90
321,ZNF91
322,ZNF92
323,ZNF93
324,ZNFX1
325,ZNHIT1
326,ZNHIT2
327,ZNHIT3
328,ZNHIT6
329,ZNRD1
330,ZNRF1
331,ZNRF2
332,ZNRF3
333,ZP3
334,ZPR1
335,ZRANB1
336,ZRANB2
337,ZRANB3
338,ZRSR2
339,ZSCAN12
340,ZSCAN16
341,ZSCAN18
342,ZSCAN2
343,ZSCAN20
344,ZSCAN21
345,ZSCAN22
346,ZSCAN25
347,ZSCAN26
348,ZSCAN29
349,ZSCAN30
350,ZSCAN31
351,ZSCAN32
352,ZSCAN9
353,ZSWIM1
354,ZSWIM3
355,ZSWIM4
356,ZSWIM5
357,ZSWIM6
358,ZSWIM7
359,ZSWIM8
360,ZUFSP
361,ZW10
362,ZWILCH
363,ZWINT
364,ZXDA
365,ZXDB
366,ZXDC
367,ZYG11A
368,ZYG11B
369,ZYX
370,ZZEF1
371,ZZZ3
