,0
0,AAGAB
1,ABAT
2,ABCC11
3,ABCC4
4,ABCC8
5,ABCG1
6,ABLIM3
7,ABRACL
8,ABTB2
9,ACADSB
10,ACBD4
11,ACER2
12,ACOT2
13,ACOT4
14,ACOX2
15,ACTR3
16,ADAMTS15
17,ADCY9
18,ADD1
19,ADIRF
20,AFF1
21,AFF3
22,AGR2
23,AGR3
24,AIF1L
25,AK8
26,AKR7A3
27,ALAD
28,AMER1
29,AMFR
30,ANKRA2
31,ANKRD30A
32,ANKRD36BP1
33,ANKRD42
34,ANKS1B
35,ANKS6
36,ANLN
37,ANP32E
38,ANXA1
39,ANXA3
40,ANXA8
41,ANXA9
42,AP2B1
43,APBA2
44,APBB2
45,APH1B
46,APPL2
47,AR
48,ARHGAP11A
49,ARHGEF39
50,ARHGEF40
51,ARL3
52,ARL4C
53,ARMT1
54,ARSG
55,ASAH1
56,ASB13
57,ASF1B
58,ASNS
59,ASPM
60,ASTN2
61,ATAD2
62,ATL2
63,ATP11A
64,ATP7B
65,ATP8B1
66,AUNIP
67,AURKA
68,AURKB
69,B3GNT5
70,BAIAP3
71,BBS1
72,BBS4
73,BBS5
74,BCAM
75,BCAS1
76,BCL2
77,BECN1
78,BEND3
79,BHLHE40
80,BIRC5
81,BLM
82,BOC
83,BORCS7
84,BPIFB1
85,BRIP1
86,BTD
87,BTF3
88,BTG2
89,BTG3
90,BUB1
91,BUB1B
92,C1orf21
93,C3orf18
94,C4A
95,C5AR2
96,C5orf34
97,C9orf116
98,C9orf152
99,C9orf40
100,C9orf64
101,CA12
102,CACFD1
103,CACNA1D
104,CACNA1H
105,CACNA2D2
106,CALCOCO1
107,CAMLG
108,CAPN13
109,CAPN8
110,CASC4
111,CAV2
112,CBX2
113,CCDC103
114,CCDC125
115,CCDC159
116,CCDC170
117,CCDC173
118,CCDC176
119,CCDC18
120,CCDC30
121,CCDC71L
122,CCDC74A
123,CCDC77
124,CCDC8
125,CCDC82
126,CCDC96
127,CCL14
128,CCNA2
129,CCNB1
130,CCNB2
131,CCND1
132,CCNDBP1
133,CCNE1
134,CCNE2
135,CCNH
136,CCT6A
137,CDC123
138,CDC20
139,CDC25A
140,CDC25C
141,CDC42EP1
142,CDC45
143,CDC6
144,CDC7
145,CDCA2
146,CDCA3
147,CDCA5
148,CDCA7
149,CDCA8
150,CDH3
151,CDIN1
152,CDK1
153,CDK17
154,CDK2AP1
155,CDKN2A
156,CDKN3
157,CDT1
158,CEACAM5
159,CEBPB
160,CELSR1
161,CENPA
162,CENPE
163,CENPF
164,CENPL
165,CENPN
166,CENPO
167,CENPU
168,CENPW
169,CEP120
170,CEP55
171,CERS6
172,CFAP20
173,CFAP69
174,CGRRF1
175,CHAD
176,CHAF1B
177,CHEK1
178,CHEK2
179,CHI3L1
180,CHI3L2
181,CHST2
182,CHST3
183,CIRBP
184,CIRH1A
185,CIT
186,CKAP2L
187,CKS1B
188,CKS2
189,CLCN4
190,CLCN5
191,CLIP2
192,CLSPN
193,CLSTN2
194,CMBL
195,CMC2
196,CMSS1
197,CMTM7
198,CMYA5
199,CNKSR3
200,COG2
201,COMMD10
202,COQ4
203,COQ7
204,COTL1
205,CPA3
206,CPEB2
207,CPEB4
208,CPLX1
209,CPNE8
210,CPSF3
211,CREB3L4
212,CRIP1
213,CROT
214,CRY2
215,CRYAB
216,CSRP2
217,CTPS1
218,CTSV
219,CX3CL1
220,CXCL16
221,CXXC5
