,0
0,ABAT
1,AGR2
2,AGR3
3,AK8
4,ANP32E
5,APH1B
6,ARMT1
7,ARSG
8,AURKB
9,B3GNT5
10,BCAS1
11,BIRC5
12,BLM
13,BUB1
14,C5AR2
15,CA12
16,CCDC125
17,CCDC170
18,CCNA2
19,CCNB2
20,CCNE1
21,CDC20
22,CDC25A
23,CDC45
24,CDC6
25,CDCA2
26,CDCA3
27,CDCA5
28,CDCA7
29,CDCA8
30,CELSR1
31,CENPA
32,CENPN
33,CENPO
34,CEP55
35,CKAP2L
36,CLSTN2
37,CMBL
38,CTPS1
39,DEGS2
40,DEPDC1
41,DLGAP5
42,DNALI1
43,ERBB4
44,ERGIC1
45,ESR1
46,EXO1
47,EXOC6
48,FAM171A1
49,FAM214A
50,FAM64A
51,FAM83D
52,FBP1
53,FOXA1
54,FOXC1
55,FOXM1
56,FSIP1
57,GABRP
58,GATA3
59,GATA3-AS1
60,GTSE1
61,HAPLN3
62,HID1
63,HJURP
64,IFRD1
65,INPP4B
66,KCNJ11
67,KDM4B
68,KIF18B
69,KIF20A
70,KIF2C
71,KIFC1
72,LRRC46
73,MAPT
74,MCCC2
75,MCM10
76,MCM6
77,MELK
78,MICALL1
79,MLPH
80,MYB
81,MYBL2
82,NAT1
83,NCAPG
84,NDC80
85,NOSTRIN
86,ORC1
87,ORC6
88,PLK1
89,PRR15
90,RABEP1
91,RAD54L
92,RARA
93,RERG
94,RFC4
95,RGMA
96,SCUBE2
97,SGOL1
98,SKA1
99,SLC39A6
100,SLC44A4
101,SLC7A8
102,SMIM14
103,SPDEF
104,SPRYD3
105,SRARP
106,STIL
107,TBC1D9
108,TCEAL1
109,TFF1
110,TFF3
111,THSD4
112,TICRR
113,TPX2
114,TRIM3
115,TRIP13
116,TROAP
117,TTK
118,TTLL4
119,UBE2C
120,XBP1
121,YBX1
122,ZMYND10
123,ZNF552
