,0
0,ZNF655
1,ZSCAN21
2,ZNF367
3,ZNF549
4,ZNF57
5,ZNF652
6,ZNF664
7,ZWINT
8,ZNF438
9,ZNF512
10,ZNF706
11,ZPR1
12,ZNF365
13,ZNF319
14,ZNF622
15,ZNF71
16,ZP3
17,ZNF385A
18,ZNF90
19,ZNF423
20,ZNF462
21,ZNF37BP
22,ZNF485
23,ZNF429
24,ZNF557
25,ZNF32
26,ZNF598
27,ZNF469
28,ZNF618
29,ZNF608
30,ZNF558
31,ZNF592
32,ZNF639
33,ZNF467
34,ZNF384
35,ZNF697
36,ZNF503
37,ZNF707
38,ZNF714
39,ZNF506
40,ZNF584
41,ZNF595
42,ZNF428
43,ZNF580
44,ZNF764
45,ZNF668
46,ZNF330
47,ZNF542P
48,ZNF34
49,ZNF526
50,ZNF324B
51,ZNF79
52,ZNF277
53,ZNF805
54,ZNF285
55,ZNF416
56,ZNF544
57,ZNF780A
58,ZNF672
59,ZNF48
60,ZNF350
61,ZNF600
62,ZNF7
63,ZNF321P
64,ZNF788
65,ZNF823
66,ZNF662
67,ZNF846
68,ZNF563
69,ZNF521
70,ZNF853
71,ZNF496
72,ZNF287
73,ZNF502
74,ZNF395
75,ZNF497
76,ZNF703
77,ZNF880
78,ZNFX1
79,ZNHIT2
80,ZNF517
81,ZNF296
82,ZNF414
83,ZNF511
84,ZNF524
85,ZNF576
86,ZNF581
87,ZNF593
88,ZNRF1
89,ZNF383
90,ZNF471
91,ZNF501
92,ZNF559
93,ZRANB2
94,ZNF85
95,ZNF33B
96,ZNF43
97,ZNF451
98,ZNF654
99,ZNF674
100,ZNF680
101,ZNF682
102,ZNF738
103,ZRANB1
104,ZRSR2
105,ZNF711
106,ZNF879
107,ZNF311
108,ZNF408
109,ZNF613
110,ZNF688
111,ZNF768
112,ZNF773
113,ZNF784
114,ZSCAN18
115,ZNF646
116,ZNHIT3
117,ZNF606
118,ZNF630
119,ZNF362
120,ZNF394
121,ZNF839
122,ZNF3
123,ZNF345
124,ZNF425
125,ZNF329
126,ZNF564
127,ZNF786
128,ZNF354A
129,ZNF554
130,ZNF589
131,ZNF692
132,ZNF35
133,ZNF577
134,ZNF70
135,ZNF790
136,ZSCAN31
137,ZNF333
138,ZNF343
139,ZNF419
140,ZNF439
141,ZNF486
142,ZNF516
143,ZNF596
144,ZNF671
145,ZNF702P
146,ZNF763
147,ZNF77
148,ZNF84
149,ZNF841
150,ZSCAN16
151,ZSCAN32
152,ZNF337
153,ZNF444
154,ZNF529
155,ZNF700
156,ZNF74
157,ZNF747
158,ZNF789
159,ZSCAN9
160,ZNF629
161,ZSWIM1
162,ZNF696
163,ZNF341
164,ZNF75A
165,ZSWIM3
166,ZNF532
167,ZNF574
168,ZSWIM4
169,ZNF710
170,ZNF750
171,ZNF346
172,ZNF418
173,ZNF586
174,ZNF814
175,ZNF830
176,ZNF433
177,ZNF568
178,ZNF610
179,ZSCAN2
180,ZNF579
181,ZNF691
182,ZSWIM7
183,ZNF653
184,ZUFSP
185,ZNF93
186,ZNF324
187,ZNF410
188,ZNF799
189,ZNF670
190,ZXDB
191,ZNF280D
192,ZNF320
193,ZNF335
194,ZNF415
195,ZNF44
196,ZNF480
197,ZNF512B
198,ZNF548
199,ZNF552
200,ZNF689
201,ZNF704
202,ZNF766
203,ZNF776
204,ZNF808
205,ZNF816
206,ZNF92
207,ZXDC
208,ZYG11A
209,ZNF398
210,ZNF473
211,ZNF530
212,ZNF761
213,ZWILCH
214,ZNF30
215,ZNF302
216,ZNF304
217,ZNF331
218,ZNF441
219,ZNF470
220,ZNF493
221,ZNF546
222,ZNF565
223,ZNF587
224,ZNF599
225,ZNF615
226,ZNF619
227,ZNF740
228,ZNF772
229,ZSCAN22
230,ZSWIM5
231,ZNF358
232,ZNF513
233,ZYX
234,ZNF436
235,ZNF500
236,ZNF583
237,ZNF687
238,ZNF767P
239,ZNF785
240,ZNF83
241,ZNF862
242,ZSWIM8
243,ZZEF1
244,ZNF616
245,ZNF792
246,ZNF8
247,ZZZ3
