,0
0,CFAP69
1,FAM174B
2,IVD
3,MACIR
4,SLC22A5
5,KIF15
6,PAPSS1
7,RGMA
8,TTC7A
9,C9orf116
10,CAPN8
11,CYBRD1
12,KIF20A
13,ANLN
14,DIAPH3
15,DLGAP5
16,BORCS7
17,DSC2
18,RAI2
19,CCDC82
20,CHST3
21,CLCN4
22,FAM171A1
23,RNF145
24,PRTFDC1
25,MRAS
26,AFF3
27,BBS4
28,FAAH
29,RND1
30,SFT2D2
31,DZIP1
32,KRT14
33,FOXC1
34,GABRP
35,HAPLN3
36,PELI1
37,PLOD1
38,SERPINB5
39,C5AR2
40,CACNA2D2
41,LRTOMT
42,IGF1R
43,TMEM25
44,INPP5J
45,SPDEF
46,CYP4Z2P
47,TMEM62
48,REEP5
49,TMEM45B
50,ABLIM3
51,CYB5D2
52,GLUL
53,REEP6
54,TGFB3
55,CRYAB
56,TCF7L1
57,SFRP1
58,TRIM29
59,CDH3
60,IFRD1
61,KIAA1804
62,CDC6
63,ENPP1
64,RMND5B
65,AKR7A3
66,CEACAM5
67,BCAS1
68,TTC8
69,STARD10
70,CHST2
71,KCNK5
72,TTK
73,MICALL1
74,MSN
75,NCK2
76,NMT2
77,ASPM
78,AURKA
79,AURKB
80,BLM
81,BUB1
82,BUB1B
83,C5orf34
84,CCNA2
85,CCNB1
86,CCNB2
87,CCNE1
88,CDC25A
89,CDCA2
90,CDCA5
91,CDCA8
92,CENPE
93,CENPF
94,CENPN
95,CENPO
96,CEP55
97,CHEK1
98,CKAP2L
99,CLSPN
100,DEPDC1
101,DEPDC1B
102,E2F8
103,ERCC6L
104,ESPL1
105,EXO1
106,EZH2
107,FAM64A
108,FAM72B
109,FAM83D
110,FANCA
111,FOXM1
112,GTSE1
113,HJURP
114,HMMR
115,IQGAP3
116,KIF11
117,KIF14
118,KIF18A
119,KIF23
120,KIF2C
121,KIF4A
122,MCM10
123,MCM6
124,MELK
125,MKI67
126,NCAPD2
127,NCAPG
128,NCAPH
129,NDC80
130,NEK2
131,NUF2
132,ORC1
133,PDK1
134,PDSS1
135,PLK1
136,POLQ
137,PRC1
138,RAD51AP1
139,SGOL1
140,SHCBP1
141,SKA3
142,STIL
143,TICRR
144,TRIP13
145,TROAP
146,PDE7A
147,CENPL
148,DSCC1
149,KIF18B
150,KIFC1
151,TPX2
152,UBE2T
153,ABCC8
154,BBS1
155,CMBL
156,CPEB2
157,FAM47E
158,FOXA1
159,KCNJ11
160,LMX1B
161,NEK10
162,PCBD2
163,RUNDC1
164,THSD4
165,TSPAN1
166,ANP32E
167,CDCA3
168,CDK1
169,DONSON
170,GINS1
171,GMPS
172,MAD2L1
173,MYBL2
174,RSU1
175,SKP2
176,UBXN2A
177,ARHGEF39
178,GPSM2
179,MFI2
180,TCF19
181,TTLL4
182,UCK2
183,AMER1
184,CIRH1A
185,KCMF1
186,PVR
187,SRPK1
188,CDC45
189,CKS1B
190,ILF2
191,RFC4
192,RRM2
193,SNRPA1
194,USB1
195,AK8
196,CYP4B1
197,SUOX
198,CCNE2
199,DNMT3B
200,PHGDH
201,YBX1
202,ABCC11
203,ANKRD30A
204,ARMT1
205,C9orf152
206,CIRBP
207,CREB3L4
208,ERGIC1
209,FSIP1
210,MYB
211,MYO5C
212,PLEKHF2
213,PREX1
214,SLC44A4
215,SUSD3
216,ABAT
217,ADCY9
218,APH1B
219,BECN1
220,CA12
221,CCDC176
222,CELSR1
223,CXXC5
224,DALRD3
225,DNAJC12
226,DNAL1
227,DNALI1
228,GATA3-AS1
229,GFRA1
230,GHDC
231,GREB1
232,HEXIM1
233,HSD17B4
234,INPP4B
235,KCTD6
236,KDM4B
237,KIAA0825
238,KIAA1467
239,NOVA1
240,P4HTM
241,PDGFD
242,RAPGEF3
243,SLC16A6
244,SRARP
245,TCEAL1
246,TLE3
247,TNS2
248,TPRG1
249,UBXN10
250,WBP1L
251,PGAP3
252,ZMYND10
253,BCL2
254,CYP2B7P
255,HPX
256,LCMT2
257,PARD6B
258,PRRT3
259,SLC7A8
260,ZNF552
261,ACADSB
262,AGR3
263,ANKRA2
264,ANXA9
265,APBB2
266,AR
267,ARSG
268,ATP8B1
269,C9orf64
270,CCDC125
271,CLSTN2
272,DACH1
273,DEGS2
274,EPB41L5
275,ERBB4
276,ESR1
277,EXOC6
278,FAM174A
279,FAM198B
280,FAM214A
281,FAM241A
282,FOXP1
283,GATA3
284,GPR160
285,HID1
286,KRT18
287,LRIG1
288,LRRC46
289,MAGED2
290,MCCC2
291,MLPH
292,NAT1
293,NOSTRIN
294,NUDT12
295,PGR
296,PNPLA4
297,RABEP1
298,RALGPS2
299,REPS2
300,SCUBE2
301,SERPINA11
302,SIDT1
303,SKP1
304,SLC39A6
305,SLC4A8
306,SMIM14
307,SPOP
308,SYTL4
309,TBC1D9
310,TFF1
311,TFF3
312,TMBIM6
313,TMC4
314,TMEM144
315,TOB1
316,TSPAN13
317,XBP1
318,ZBTB4
319,ZNF703
