,0
0,ZCCHC6
1,RERE
2,BRD2
3,CKMT1A
4,CFLAR
5,GNG7
6,LAMTOR5
7,NSL1
8,MACIR
9,FGFR2
10,RBMXL1
11,TRIM8
12,BSPRY
13,RBM34
14,FILIP1
15,TYMP
16,ATXN7L2
17,IFT140
18,TMEM134
19,RAB27A
20,FOXJ2
21,KRI1
22,EIF3L
23,FOXM1
24,PAN2
25,C3orf18
26,SMAD4
27,KLC4
28,AK5
29,SCAP
30,HEPH
31,SCAMP1
32,FOXN3
33,UGCG
34,BACH2
35,SLC22A15
36,NFKBIE
37,METAP2
38,AHCTF1
39,MICOS13
40,NOC4L
41,HIF1AN
42,EEA1
43,TEX2
44,GLRX2
45,TNKS
46,LINC00657
47,TCEA1
48,HIP1
49,RUVBL1
50,RAP2B
51,SDAD1
52,USO1
53,ELMOD2
54,LZTR1
55,DFFA
56,LINC00152
57,MAGT1
58,CERS4
59,FBXL20
60,PTPRD
61,RNASET2
62,AGFG1
63,C4orf46
64,VPS35L
65,BAX
66,EPS8
67,PREPL
68,SLU7
69,TAF10
70,RPP25
71,ABHD13
72,SEMA4A
73,CPZ
74,BUB3
75,PITPNB
76,ITPR3
77,HSP90AB1
78,PLEKHA5
79,TBC1D22A
80,KIAA1147
81,RBM10
82,NOP16
83,KIAA0226L
84,LINC00205
85,LINC00493
86,SYT1
87,UXS1
88,SBK1
89,STAT5B
90,NCKAP1
91,RIOX1
92,SPON2
93,DBF4B
94,C1GALT1C1
95,FCGR2A
96,FAM207A
97,SWT1
98,VDAC3
99,WDYHV1
100,TMEM209
101,MRI1
102,ING1
103,IL4I1
104,NOTCH4
105,PFAS
106,HLA-DOA
107,MRPL52
108,SDCBP
109,TNFRSF10A
110,MCTS1
111,TIMM8B
112,SDSL
113,MTRFR
114,ECHS1
115,MAP1LC3B2
116,CENPC
117,HIST1H2BK
118,BHLHE41
119,SCFD2
120,HS2ST1
121,ADGRL1
122,PPM1H
123,TPD52
124,LURAP1L
125,PELI1
126,CLDND1
127,ZBTB25
128,TBL3
129,ZSWIM7
130,SAP30BP
131,HSF2
132,UHMK1
133,TMPRSS13
134,CLIC4
135,DMTN
136,CYTH3
137,PSMD12
138,RET
139,CCND2
140,BBS10
141,JAG2
142,MFSD6
143,SLC18B1
144,CIRH1A
145,STAM2
146,APOA1BP
147,CBLB
148,GTPBP2
149,ACYP2
150,APOE
151,SETD1B
152,TGFB1I1
153,FNBP1
154,SPRYD3
155,ACAD8
156,PLOD3
157,TRAPPC11
158,NUDT15
159,SPIN1
160,CD52
161,COL7A1
162,MORC2
163,GALNT14
164,BSG
165,ZNF788
166,DNAH5
167,PPAN-P2RY11
168,CCL28
169,PCBP4
170,ACY1
171,SPIN4
172,ZSCAN21
173,ANO10
174,FAM89B
175,VCPKMT
176,P2RX4
177,SLC15A2
178,CHCHD6
179,SNAPIN
180,ZCCHC2
181,ARFGAP3
182,ARHGAP1
183,FAM200B
184,PLXDC1
185,OPN3
186,GIGYF1
187,CHM
188,TSNARE1
189,FZD5
190,RAB3D
191,IQCK
192,SLC10A7
193,SPON1
194,PRDX2
195,MPV17L2
196,HCN3
197,GPRIN1
198,ITGB4
199,SCARF1
200,CST1
201,ZNF174
202,THTPA
203,NIPSNAP1
204,SPICE1
205,RNF169
206,CHIC2
207,RHOBTB1
208,RP9P
209,FAM35DP
210,PRPF38A
211,PAQR8
212,EVPL
213,ACTR3B
214,ODC1
215,FAM120C
216,NABP1
217,VEGFC
218,PLD2
219,DHX16
220,PLEKHF1
221,SLC29A3
222,TWIST1
223,PXDN
224,TLE2
225,TAF9
226,C19orf33
227,C21orf91
228,PTPN14
229,TAF5L
230,AP3D1
231,CAPN10
232,NLRP1
233,ZNF709
234,ATP5J
235,ICAM2
236,NHEJ1
237,SMIM3
238,RARS
239,VWA2
240,ARVCF
241,TMEM182
242,ARHGAP11A
243,CHST14
244,ZNHIT6
245,WNT2
246,SPARCL1
247,POLR2J4
248,GUSBP11
249,FHL3
250,FAM86EP
251,ARGLU1
252,SAMM50
253,KIAA1958
254,CALML4
255,CEP192
256,FLAD1
257,KDM3B
258,CANT1
259,VAPA
260,FAM114A2
261,AQP1
262,LINC00909
263,CEP85
264,FRA10AC1
265,GMPR2
266,C19orf54
267,TUBE1
268,NUDT19
269,SLC35F2
270,LRIG2
271,TLCD1
272,NOL7
273,LINC00938
274,ZNF19
275,EXOC6
276,YDJC
277,MYLK
278,COPZ1
279,TRAF6
280,INPP5E
281,PTBP3
282,ROBO1
283,SRSF3
284,SAP30L
285,DPM2
286,S100A10
287,CADM1
288,KHNYN
289,STK32B
290,GLRX
291,PRRX2
292,CMBL
293,KCTD15
294,CD2
295,HCG18
296,JADE1
297,MRPS14
298,C16orf74
299,CNIH4
300,SZRD1
301,PARP14
302,CPNE3
303,SOX18
304,CCNK
305,FUT4
306,ZNF548
307,SUSD2
308,JUNB
309,TESK1
310,RNF216P1
311,AGR2
312,RAB4A
313,FGFR1OP
314,GBP4
315,LRRC61
316,GATSL3
317,RAB38
318,SEC62
319,TRIM4
