,0
0,uc010tpz.1
1,uc011ltb.1
2,uc003fdb.1
3,uc001wuf.2
4,uc002hst.2
5,uc003ojq.1
6,uc003mtp.2
7,uc011eet.1
8,uc002vwt.2
9,uc003sts.2
10,uc002amc.2
11,uc010jti.2
12,uc010fjf.2
13,uc003qoo.3
14,uc003str.2
15,uc010fyt.1
16,uc002hsq.2
17,uc011akl.1
18,uc003yhc.2
19,uc002vwu.2
20,uc003qnt.2
21,uc003qol.2
22,uc002hsl.2
23,uc001ygx.2
24,uc002wwp.1
25,uc011eey.1
26,uc003aec.2
27,uc002hsd.2
28,uc001cbj.2
29,uc001cix.2
30,uc002bnh.3
31,uc002boe.2
32,uc002bsq.1
33,uc002zav.2
34,uc001gtv.2
35,uc002opb.3
36,uc001dlr.3
37,uc003jes.2
38,uc011dev.1
39,uc002vwx.2
40,uc001gxx.3
41,uc002xpm.2
42,uc010wek.1
43,uc002hxg.3
44,uc002iht.2
45,uc001ewa.2
46,uc002ijx.3
47,uc003qon.3
48,uc002wuv.1
49,uc002jmj.3
50,uc001mhh.1
51,uc011lwk.1
52,uc002rbp.1
53,uc002hbq.2
54,uc002sad.1
55,uc002hsi.1
56,uc001qrg.2
57,uc003mau.2
58,uc003pih.1
59,uc003oon.2
60,uc003flk.2
61,uc010wei.1
62,uc001msc.2
63,uc002tlm.2
64,uc004atb.2
65,uc003xnt.2
66,uc011mjf.1
67,uc002rah.2
68,uc003ybr.1
69,uc003etn.2
70,uc002huj.1
71,uc002uid.1
72,uc002hss.2
73,uc002jvg.2
74,uc003bhw.1
75,uc003eed.2
76,uc010kio.2
77,uc002hsr.2
78,uc001bxy.2
79,uc003aun.1
80,uc001sck.2
81,uc003wyq.2
82,uc001kqf.2
83,uc003gkd.3
84,uc003gpp.2
85,uc001omo.1
86,uc002ltc.2
87,uc002ijv.3
88,uc003sou.2
89,uc001kxq.2
90,uc003ewe.2
91,uc010dmy.2
92,uc001qlf.2
93,uc002veh.1
94,uc002ahf.3
95,uc010fhv.1
96,uc001zki.2
97,uc010cvy.2
98,uc002zax.1
99,uc002gkm.2
100,uc002ydm.2
101,uc002jvf.2
102,uc009xyr.2
103,uc002hsj.2
104,uc001hir.1
105,uc001pmf.1
106,uc001lkf.2
107,uc002rbk.1
108,uc009vyd.1
109,uc004eaq.1
110,uc001csj.2
111,uc004eqi.2
112,uc001kiq.3
113,uc002xws.2
114,uc002vvg.2
115,uc003qok.1
116,uc002vev.2
117,uc011bsq.1
118,uc002liz.3
119,uc001fdr.2
120,uc001qfe.1
121,uc003ldb.1
122,uc001xlt.1
123,uc002pui.2
124,uc003yoz.2
125,uc003gou.2
126,uc001lci.2
127,uc002hsp.2
128,uc002xlb.1
129,uc002bul.2
130,uc001gcq.1
131,uc001wiz.2
132,uc001sak.2
133,uc010cwb.2
134,uc001pgg.2
135,uc002gcu.1
136,uc002opq.2
137,uc003lqs.2
138,uc001xls.1
139,uc001ugm.3
140,uc002hus.2
141,uc001hkm.2
142,uc001lcj.2
143,uc002htk.1
144,uc003vpr.2
145,uc003inh.2
146,uc002huq.2
147,uc003kgc.2
148,uc003stg.2
149,uc001zxb.1
150,uc001ijx.1
151,uc003bqf.2
152,uc003eee.3
153,uc002xsl.2
154,uc002exw.1
155,uc003lcj.2
156,uc010mlz.2
157,uc001pbc.2
158,uc002wni.1
159,uc001fpf.2
160,uc001yri.3
161,uc010cvz.2
162,uc002jxc.2
163,uc002uyw.1
164,uc009zeb.2
165,uc002xvo.2
