,0
0,uc001apj.1
1,uc001apv.2
2,uc001aqv.3
3,uc001are.2
4,uc001atm.2
5,uc001axn.2
6,uc001bbv.1
7,uc001bdb.2
8,uc001bhe.1
9,uc001bkw.1
10,uc001blc.2
11,uc001bqg.1
12,uc001bsn.2
13,uc001bxx.2
14,uc001bxy.2
15,uc001bzg.1
16,uc001bzi.2
17,uc001caq.2
18,uc001caz.2
19,uc001cba.1
20,uc001cbj.2
21,uc001cbs.2
22,uc001ccn.3
23,uc001cgk.3
24,uc001cgl.3
25,uc001chm.2
26,uc001chs.2
27,uc001cix.2
28,uc001ciy.2
29,uc001cjg.3
30,uc001cmg.3
31,uc001cnd.2
32,uc001cne.2
33,uc001cof.2
34,uc001coh.1
35,uc001coj.1
36,uc001cpl.2
37,uc001cpp.2
38,uc001cpu.2
39,uc001cqm.3
40,uc001cqn.3
41,uc001cqo.1
42,uc001crc.1
43,uc001csj.2
44,uc001csl.2
45,uc001ctt.2
46,uc001ctw.3
47,uc001cuv.2
48,uc001cvf.1
49,uc001cvh.1
50,uc001cvk.1
51,uc001cxz.3
52,uc001dak.1
53,uc001ddx.2
54,uc001del.3
55,uc001dem.3
56,uc001dfp.1
57,uc001dfq.2
58,uc001dmi.2
59,uc001dmx.2
60,uc001duu.2
61,uc001dwq.2
62,uc001dzl.1
63,uc001eao.2
64,uc001ecv.2
65,uc001ecy.2
66,uc001eft.2
67,uc001egy.2
68,uc001ehz.2
69,uc001eic.2
70,uc001eph.3
71,uc001etw.2
72,uc001evm.1
73,uc001evz.2
74,uc001ewa.2
75,uc001ewg.2
76,uc001fcr.2
77,uc001fdq.2
78,uc001fdr.2
79,uc001fga.2
80,uc001fgb.2
81,uc001fgf.1
82,uc001fhl.3
83,uc001fmy.2
84,uc001fnd.3
85,uc001fpf.2
86,uc001fpq.2
87,uc001ftq.2
88,uc001fvh.2
89,uc001fxq.2
90,uc001gcq.1
91,uc001gcr.1
92,uc001gdk.3
93,uc001gdp.2
94,uc001gfc.2
95,uc001gfi.3
96,uc001gfm.2
