,0
0,Accuracy
1,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
2,"[0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100
 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100]"
3,"[0.001 0.001 0.001 0.001 0.001 0.001 0.01 0.01 0.01 0.01 0.01 0.01 0.1 0.1
 0.1 0.1 0.1 0.1 1 1 1 1 1 1 10 10 10 10 10 10 100 100 100 100 100 100]"
4,"[0.79 0.81 0.79 0.79 0.81 0.82 0.79 0.81 0.79 0.79 0.81 0.82 0.79 0.81
 0.79 0.79 0.81 0.82 0.79 0.81 0.79 0.79 0.81 0.82 0.79 0.81 0.79 0.79
 0.81 0.82 0.79 0.81 0.79 0.79 0.81 0.82]"
5,"[0.09 0.06 0.09 0.09 0.06 0.05 0.09 0.06 0.09 0.09 0.06 0.05 0.09 0.06
 0.09 0.09 0.06 0.05 0.09 0.06 0.09 0.09 0.06 0.05 0.09 0.06 0.09 0.09
 0.06 0.05 0.09 0.06 0.09 0.09 0.06 0.05]"
6,"[0.78 0.87 0.78 0.78 0.87 0.87 0.78 0.87 0.78 0.78 0.87 0.87 0.78 0.87
 0.78 0.78 0.87 0.87 0.78 0.87 0.78 0.78 0.87 0.87 0.78 0.87 0.78 0.78
 0.87 0.87 0.78 0.87 0.78 0.78 0.87 0.87]"
7,"[0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78
 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78
 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78]"
8,"[0.71 0.65 0.71 0.67 0.71 0.71 0.71 0.65 0.71 0.67 0.71 0.71 0.71 0.65
 0.71 0.67 0.71 0.71 0.71 0.65 0.71 0.67 0.71 0.71 0.71 0.65 0.71 0.67
 0.71 0.71 0.71 0.65 0.71 0.67 0.71 0.71]"
9,"[0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8
 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8]"
10,"[0.8  0.84 0.8  0.78 0.75 0.84 0.8  0.84 0.8  0.78 0.75 0.84 0.8  0.84
 0.8  0.78 0.75 0.84 0.8  0.84 0.8  0.78 0.75 0.84 0.8  0.84 0.8  0.78
 0.75 0.84 0.8  0.84 0.8  0.78 0.75 0.84]"
11,"[0.58 0.75 0.58 0.58 0.75 0.75 0.58 0.75 0.58 0.58 0.75 0.75 0.58 0.75
 0.58 0.58 0.75 0.75 0.58 0.75 0.58 0.58 0.75 0.75 0.58 0.75 0.58 0.58
 0.75 0.75 0.58 0.75 0.58 0.58 0.75 0.75]"
12,"[0.87 0.85 0.87 0.85 0.85 0.85 0.87 0.85 0.87 0.85 0.85 0.85 0.87 0.85
 0.87 0.85 0.85 0.85 0.87 0.85 0.87 0.85 0.85 0.85 0.87 0.85 0.87 0.85
 0.85 0.85 0.87 0.85 0.87 0.85 0.85 0.85]"
13,"[0.91 0.82 0.91 0.91 0.82 0.82 0.91 0.82 0.91 0.91 0.82 0.82 0.91 0.82
 0.91 0.91 0.82 0.82 0.91 0.82 0.91 0.91 0.82 0.82 0.91 0.82 0.91 0.91
 0.82 0.82 0.91 0.82 0.91 0.91 0.82 0.82]"
14,"[0.89 0.87 0.89 0.87 0.87 0.89 0.89 0.87 0.89 0.87 0.87 0.89 0.89 0.87
 0.89 0.87 0.87 0.89 0.89 0.87 0.89 0.87 0.87 0.89 0.89 0.87 0.89 0.87
 0.87 0.89 0.89 0.87 0.89 0.87 0.87 0.89]"
15,"[0.8  0.85 0.8  0.84 0.85 0.85 0.8  0.85 0.8  0.84 0.85 0.85 0.8  0.85
 0.8  0.84 0.85 0.85 0.8  0.85 0.8  0.84 0.85 0.85 0.8  0.85 0.8  0.84
 0.85 0.85 0.8  0.85 0.8  0.84 0.85 0.85]"
16,"[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01]"
